Longitude,Latitude,operator_name,avg_dl_4g_ios,avg_dl_4g_ad,avg_dl_ip12_5g,avg_dl_ad_5g,avg_dl_4g_ios_pred,avg_dl_4g_ad_pred,avg_dl_ip12_5g_pred,avg_dl_ad_5g_pred
24.50379517,60.21271691,Telia,10.8,,,,22,50,268,264
24.50379517,60.25508481,DNA,125.1,,,,87,87,296,334
24.50379517,60.25731319,Elisa,2.3,,,,19,22,226,180
24.50379517,60.25954141,DNA,,102.2,,,59,85,296,334
24.50379517,60.25954141,Elisa,,0.2,,,24,12,215,180
24.50379517,60.25954141,Telia,,22.4,,,40,29,268,264
24.50379517,60.32187004,Telia,14.7,,,,26,47,268,264
24.50828674,60.25508481,Elisa,,,288,,28,42,250,175
24.50828674,60.25731319,Elisa,23.7,0.2,,,25,19,232,173
24.50828674,60.25954141,Elisa,,0.2,,,27,9,218,173
24.50828674,60.27068023,Telia,,,,,36,47,268,264
24.50828674,60.31074864,Elisa,21.3,,,,30,48,166,198
24.51277832,60.25508481,DNA,11.4,,,,35,93,296,334
24.51277832,60.25508481,Elisa,,123.5,,,32,61,233,165
24.51277832,60.25954141,DNA,18.7,40.85,,,31,59,296,334
24.51277832,60.25954141,Elisa,,3.6,,,32,12,214,165
24.51277832,60.25954141,Telia,,12.85,,,38,27,268,264
24.51277832,60.27290755,Elisa,,85.7,,,30,64,166,187
24.51277832,60.27290755,Telia,,64,,,36,54,268,264
24.51277832,60.27513471,Telia,,152.8,,,38,52,268,264
24.51277832,60.29517232,Elisa,,36.2,,,31,41,131,196
24.5172699,60.25062761,Elisa,,34.4,,222.9,37,42,211,180
24.5172699,60.25285629,DNA,,152.9,,,42,115,296,334
24.5172699,60.25285629,Telia,,48.2,,,42,49,268,264
24.5172699,60.25508481,Elisa,,11.8,,,35,32,219,147
24.5172699,60.25954141,DNA,21.5,,,,27,61,296,334
24.5172699,60.25954141,Elisa,,0.2,,,37,13,208,154
24.5172699,60.26176948,DNA,,,,,29,51,296,334
24.5172699,60.26399739,DNA,,37.1,,,31,42,296,334
24.5172699,60.27068023,Telia,19,,,,28,45,268,264
24.5172699,60.27290755,Telia,42.3,137.1,,,35,49,268,264
24.5172699,60.28849448,Elisa,,,115.6,,30,47,109,195
24.5172699,60.29072058,Elisa,,,58.4,,29,46,96,196
24.5172699,60.31074864,Elisa,36.1,,,,34,48,165,197
24.5172699,60.31074864,Telia,,44.8,,,43,46,268,264
24.52176147,60.24839879,Elisa,,95.9,,,39,60,200,156
24.52176147,60.25062761,Elisa,,6.1,,,37,34,204,142
24.52176147,60.25285629,Elisa,,,,,37,32,207,123
24.52176147,60.25508481,Elisa,33.9,,,,37,29,208,121
24.52176147,60.25954141,Elisa,58.5,,,,44,20,200,143
24.52176147,60.25954141,Telia,,50.3,,,37,44,268,264
24.52176147,60.26176948,DNA,,,,,28,49,296,334
24.52176147,60.26622516,Telia,,149,,,28,35,268,264
24.52176147,60.27290755,Telia,,125.8,,,32,45,268,264
24.52176147,60.28181527,Telia,,151.5,,,41,48,268,264
24.52176147,60.29072058,Elisa,,,132.1,,26,46,113,195
24.52176147,60.3085239,DNA,2.7,,,,19,58,296,334
24.52625305,60.20825394,DNA,53.7,,,,51,59,296,331
24.52625305,60.20825394,Telia,25.8,,,,31,51,268,262
24.52625305,60.25285629,Elisa,,,,14.1,37,32,200,82
24.52625305,60.25508481,Elisa,,,,74.1,38,29,200,95
24.52625305,60.26176948,DNA,26.8,,,,29,47,296,334
24.52625305,60.26399739,DNA,,,,,28,37,296,334
24.52625305,60.26399739,Telia,,22.16,,,32,34,268,264
24.52625305,60.26845277,DNA,8.9,4.1,,,23,19,296,334
24.52625305,60.26845277,Elisa,4.2,,,,14,31,171,175
24.52625305,60.26845277,Telia,9.3,,,,22,35,268,264
24.52625305,60.27068023,Elisa,,12,,,19,29,165,180
24.52625305,60.28181527,Telia,,149.6,,,41,47,268,264
24.52625305,60.28849448,Elisa,,,44.9,,26,48,88,195
24.52625305,60.28849448,Telia,41.3,142.9,,,38,48,268,264
24.52625305,60.29072058,Elisa,,,128.7,,24,47,114,195
24.52625305,60.29739796,DNA,10.1,,,,17,49,296,334
24.52625305,60.29739796,Elisa,6.5,,,,17,46,139,196
24.52625305,60.30407398,Telia,52.9,,,,49,47,268,264
24.53074463,60.20825394,Elisa,,,,10.9,58,61,176,98
24.53074463,60.26622516,Elisa,5.4,,,,16,34,174,168
24.53074463,60.26622516,Telia,27,,,,31,38,268,264
24.53074463,60.26845277,Telia,,19.1,,,29,32,268,264
24.53074463,60.27958857,Elisa,8.9,,,,19,49,133,191
24.53074463,60.28404183,Telia,,150.3,,,42,47,268,264
24.53074463,60.28626823,DNA,,13.7,,,29,26,296,334
24.53074463,60.28626823,Telia,53.56666667,,,,44,48,268,264
24.53074463,60.29072058,Elisa,17.4,,,,23,48,115,195
24.53074463,60.29072058,Telia,3.3,,,,25,48,268,264
24.53074463,60.29739796,DNA,10.6,,,,15,47,296,334
24.5352362,60.20602223,Telia,,47.7,,,38,52,268,260
24.5352362,60.22164102,DNA,0.7,,,,21,54,296,332
24.5352362,60.26399739,Telia,,64,,,38,53,268,264
24.5352362,60.26622516,Telia,46.7,,,,38,44,268,264
24.5352362,60.26845277,DNA,,16.6,,,33,23,296,334
24.5352362,60.31742193,Elisa,,,,,38,48,169,197
24.53972778,60.20155836,Telia,,91.5,,,42,62,268,257
24.53972778,60.24171139,Telia,,107.8,,,43,97,268,264
24.53972778,60.24839879,Telia,,117.5,,,43,103,268,264
24.53972778,60.29294652,DNA,3.3,,,,12,38,296,334
24.54421935,60.19932619,DNA,1.6,,,,19,53,297,323
24.54421935,60.19932619,Telia,,10.9,,,44,35,268,254
24.54421935,60.20602223,Telia,,50,,,42,50,268,258
24.54421935,60.23948196,Telia,,125.9,,,43,88,268,263
24.54421935,60.24616981,Telia,,121.8,,,43,108,268,264
24.54421935,60.24839879,Elisa,26.75,3.1,,,30,22,184,127
24.54421935,60.27513471,DNA,54.1,,,,39,31,296,334
24.54421935,60.28404183,DNA,10.9,,,,20,31,296,334
24.54421935,60.29072058,DNA,9.9,,,,16,35,296,334
24.54421935,60.30407398,DNA,7.5,,,,19,50,296,334
24.54421935,60.30629902,Elisa,17.3,,,,22,48,161,196
24.54871093,60.18816308,Elisa,,40.65,,,47,37,163,156
24.54871093,60.20379037,Elisa,,,,114.6,62,68,181,164
24.54871093,60.2104855,Elisa,,96.4,,353.1,73,83,180,290
24.54871093,60.21271691,Elisa,,,,504,71,77,179,352
24.54871093,60.24616981,Elisa,,,,157.15,29,33,182,126
24.54871093,60.27513471,DNA,15.4,,,,29,31,296,334
24.54871093,60.27736171,DNA,22.3,,,,28,31,296,334
24.54871093,60.30629902,Telia,,51.6,,,50,50,268,263
24.55320251,60.20379037,Elisa,,77.5,,315.3,63,69,185,214
24.55320251,60.20602223,Elisa,,,,70.7,68,72,185,163
24.55320251,60.20602223,Telia,,,,,45,44,269,255
24.55320251,60.2104855,Elisa,97.1,85.3,,138.7,80,80,182,224
24.55320251,60.24394068,Elisa,,,,,26,41,182,115
24.55320251,60.24616981,Elisa,,,,12.8,27,38,182,86
24.55320251,60.24616981,Telia,,133.6,,,42,95,268,263
24.55320251,60.29739796,Elisa,,,,187.1,36,49,150,191
24.55320251,60.29962345,DNA,,40.3,,,31,41,296,334
24.55320251,60.29962345,Telia,64.1,45.45,,,56,47,268,262
24.55769408,60.23279275,DNA,,1.2,,,46,16,296,332
24.55769408,60.24394068,Elisa,11.8,,,,21,45,183,118
24.55769408,60.24616981,DNA,,10.6,,,48,19,296,333
24.55769408,60.26845277,Elisa,,98.4,,,42,84,158,184
24.55769408,60.26845277,Telia,42.3,,,,40,52,268,262
24.55769408,60.27513471,Elisa,47.6,,,,45,66,135,191
24.55769408,60.27513471,Telia,23.3,,,,31,49,268,261
24.55769408,60.27958857,DNA,,21.9,,,35,26,296,334
24.55769408,60.28181527,Elisa,,,58.3,,47,56,92,194
24.55769408,60.29517232,DNA,,19.3,,,34,30,296,334
24.55769408,60.29517232,Telia,,,,,50,47,268,261
24.55769408,60.29739796,Elisa,,166.2,,,38,49,152,192
24.55769408,60.3085239,Elisa,1.3,,,,16,47,165,196
24.56218566,60.18146339,DNA,1,,,,18,36,309,301
24.56218566,60.18146339,Elisa,,10.5,,,40,19,173,135
24.56218566,60.18369677,DNA,1.8,,,,18,29,309,299
24.56218566,60.18593,DNA,26.4,6.6,,,25,19,308,298
24.56218566,60.24394068,DNA,,11.1,,,46,15,296,333
24.56218566,60.24616981,Telia,,106.2,,,41,92,268,263
24.56218566,60.26176948,DNA,50.1,,,,49,37,296,334
24.56218566,60.26845277,Elisa,,97.3,,,44,85,158,187
24.56218566,60.28849448,Elisa,66.7,,,,57,52,132,195
24.56667724,60.18369677,Telia,46.4,,,,41,40,261,194
24.56667724,60.18593,DNA,,14.6,,,34,23,313,288
24.56667724,60.18593,Elisa,,4.5,,12.7,40,15,167,84
24.56667724,60.18816308,DNA,,11.4,,,30,22,309,288
24.56667724,60.18816308,Elisa,,10.3,,,40,14,158,115
24.56667724,60.190396,Elisa,,4.3,,,40,11,148,140
24.56667724,60.19262878,Elisa,,,41.4,,40,15,131,162
24.56667724,60.24394068,Elisa,,,,132.5,25,52,186,127
24.56667724,60.27958857,DNA,,19.7,,,42,25,296,334
24.57116881,60.18146339,Telia,23.15,,,,28,45,255,167
24.57116881,60.18369677,DNA,68.4,,,,55,43,323,278
24.57116881,60.18816308,Elisa,,24.3,,,38,20,168,127
24.57116881,60.190396,DNA,2.6,35.7,,,26,36,307,278
24.57116881,60.190396,Elisa,,,166.6,,37,12,166,149
24.57116881,60.190396,Telia,,24.9,,,47,28,271,218
24.57116881,60.19262878,DNA,7.75,,,,25,40,301,282
24.57116881,60.19262878,Elisa,,3.4,207,,36,10,187,170
24.57116881,60.1948614,Elisa,37.5,,329.3,,38,16,237,189
24.57116881,60.19709387,DNA,,,,,42,47,294,291
24.57116881,60.19709387,Elisa,,21.3,,,45,24,229,203
24.57116881,60.24171139,Elisa,,,,292.1,23,57,189,176
24.57116881,60.24394068,DNA,,2.925,,,39,10,296,333
24.57116881,60.24394068,Elisa,23.2,,,3.45,26,54,189,101
24.57116881,60.24394068,Telia,,93.7,,,40,73,268,262
24.57566039,60.17922986,Telia,11.1,,,60.4,20,49,246,131
24.57566039,60.18146339,DNA,59.15,45.15,,,58,53,338,269
24.57566039,60.18146339,Elisa,,30.9,192.3,,32,36,196,142
24.57566039,60.18146339,Telia,15.55,,,,26,48,254,157
24.57566039,60.18369677,Elisa,,49.25,,,38,43,194,139
24.57566039,60.18369677,Telia,,47.44,,,38,42,260,178
24.57566039,60.18593,Telia,,12,,,44,27,264,193
24.57566039,60.190396,Elisa,,0.2,,,35,14,176,161
24.57566039,60.1948614,Elisa,16.3,,147.1,,33,15,198,205
24.57566039,60.20825394,Telia,,,,,49,34,268,253
24.57566039,60.24171139,DNA,,,,,34,12,296,332
24.57566039,60.24171139,Elisa,3,,,121.5,20,58,194,131
